Using device: cuda
Episode 0, Total Reward: 26.51000000000001, Epsilon: 0.360
Episode 1, Total Reward: 78.7400000000003, Epsilon: 0.324
Episode 2, Total Reward: 80.48999999999944, Epsilon: 0.292
Episode 3, Total Reward: 19.820000000000014, Epsilon: 0.262
Episode 4, Total Reward: 110.22999999999594, Epsilon: 0.236
Episode 5, Total Reward: 70.87999999999722, Epsilon: 0.213
Episode 6, Total Reward: 79.84999999999958, Epsilon: 0.191
Episode 7, Total Reward: 181.62999999999838, Epsilon: 0.172
Episode 8, Total Reward: 27.919999999999913, Epsilon: 0.155
Episode 9, Total Reward: 146.46999999999915, Epsilon: 0.139
Episode 10, Total Reward: 77.59000000000049, Epsilon: 0.126
Episode 11, Total Reward: 137.7099999999986, Epsilon: 0.113
Episode 12, Total Reward: 81.40999999999997, Epsilon: 0.102
Episode 13, Total Reward: 24.99999999999998, Epsilon: 0.092
Episode 14, Total Reward: 104.17000000000007, Epsilon: 0.082
Episode 15, Total Reward: 97.89999999999931, Epsilon: 0.074
Episode 16, Total Reward: 24.41, Epsilon: 0.067
Episode 17, Total Reward: 108.5799999999993, Epsilon: 0.060
Episode 18, Total Reward: 133.209999999999, Epsilon: 0.054
Episode 19, Total Reward: 113.11999999999927, Epsilon: 0.050
Episode 20, Total Reward: 32.099999999999994, Epsilon: 0.050
Episode 21, Total Reward: 80.17000000000024, Epsilon: 0.050
Episode 22, Total Reward: 86.09999999999995, Epsilon: 0.050
Episode 23, Total Reward: 86.20000000000022, Epsilon: 0.050
Episode 24, Total Reward: 143.72000000000034, Epsilon: 0.050
Episode 25, Total Reward: 103.84999999999985, Epsilon: 0.050
Episode 26, Total Reward: 173.63999999999655, Epsilon: 0.050
Episode 27, Total Reward: 33.11000000000001, Epsilon: 0.050
Episode 28, Total Reward: 105.05000000000007, Epsilon: 0.050
Episode 29, Total Reward: 80.49000000000012, Epsilon: 0.050
Episode 30, Total Reward: 27.949999999999992, Epsilon: 0.050
Episode 31, Total Reward: 108.29999999999947, Epsilon: 0.050
Episode 32, Total Reward: 140.3299999999994, Epsilon: 0.050
Episode 33, Total Reward: 32.11999999999998, Epsilon: 0.050
Episode 34, Total Reward: 34.29000000000001, Epsilon: 0.050
Episode 35, Total Reward: 79.01999999999946, Epsilon: 0.050
Episode 36, Total Reward: 34.09000000000001, Epsilon: 0.050
Episode 37, Total Reward: 153.38999999999885, Epsilon: 0.050
Episode 38, Total Reward: 32.25999999999999, Epsilon: 0.050
Episode 39, Total Reward: 83.9100000000001, Epsilon: 0.050
Episode 40, Total Reward: 79.73999999999998, Epsilon: 0.050
Episode 41, Total Reward: 104.36999999999917, Epsilon: 0.050
Episode 42, Total Reward: 152.7799999999976, Epsilon: 0.050
Episode 43, Total Reward: 32.06, Epsilon: 0.050
Episode 44, Total Reward: 32.42, Epsilon: 0.050
Episode 45, Total Reward: 32.16, Epsilon: 0.050
Episode 46, Total Reward: 86.11000000000011, Epsilon: 0.050
Episode 47, Total Reward: 82.77999999999997, Epsilon: 0.050
Episode 48, Total Reward: 106.37999999999604, Epsilon: 0.050
Episode 49, Total Reward: 32.52, Epsilon: 0.050
Episode 50, Total Reward: 32.110000000000014, Epsilon: 0.050
Episode 51, Total Reward: 85.3500000000002, Epsilon: 0.050
Episode 52, Total Reward: 109.91999999999905, Epsilon: 0.050
Episode 53, Total Reward: 32.38, Epsilon: 0.050
Episode 54, Total Reward: 83.37999999999988, Epsilon: 0.050
Episode 55, Total Reward: 81.8499999999992, Epsilon: 0.050
Episode 56, Total Reward: 104.00999999999836, Epsilon: 0.050
Episode 57, Total Reward: 85.50999999999996, Epsilon: 0.050
Episode 58, Total Reward: 84.7900000000001, Epsilon: 0.050
Episode 59, Total Reward: 81.02999999999939, Epsilon: 0.050
Episode 60, Total Reward: 32.449999999999996, Epsilon: 0.050
Episode 61, Total Reward: 87.44000000000027, Epsilon: 0.050
Episode 62, Total Reward: 30.819999999999975, Epsilon: 0.050
Episode 63, Total Reward: 112.03999999999965, Epsilon: 0.050
Episode 64, Total Reward: 130.91999999999558, Epsilon: 0.050
Episode 65, Total Reward: 85.18000000000032, Epsilon: 0.050
Episode 66, Total Reward: 31.65, Epsilon: 0.050
Episode 67, Total Reward: 135.8999999999961, Epsilon: 0.050
Episode 68, Total Reward: 29.32999999999999, Epsilon: 0.050
Episode 69, Total Reward: 86.88000000000001, Epsilon: 0.050
Episode 70, Total Reward: 104.69999999999949, Epsilon: 0.050
Episode 71, Total Reward: 33.76000000000001, Epsilon: 0.050
Episode 72, Total Reward: 88.65000000000018, Epsilon: 0.050
Episode 73, Total Reward: 31.449999999999985, Epsilon: 0.050
Episode 74, Total Reward: 83.27000000000021, Epsilon: 0.050
Episode 75, Total Reward: 86.71000000000028, Epsilon: 0.050
Episode 76, Total Reward: 85.04999999999153, Epsilon: 0.050
Episode 77, Total Reward: 28.64999999999996, Epsilon: 0.050
Episode 78, Total Reward: 77.5699999999996, Epsilon: 0.050
Episode 79, Total Reward: 82.88999999999771, Epsilon: 0.050
Episode 80, Total Reward: 109.37999999999863, Epsilon: 0.050
Episode 81, Total Reward: 84.13, Epsilon: 0.050
Episode 82, Total Reward: 82.48000000000009, Epsilon: 0.050
Episode 83, Total Reward: 30.219999999999995, Epsilon: 0.050
Episode 84, Total Reward: 142.5799999999994, Epsilon: 0.050
Episode 85, Total Reward: 32.28, Epsilon: 0.050
Episode 86, Total Reward: 114.89999999999692, Epsilon: 0.050
Episode 87, Total Reward: 128.36999999999728, Epsilon: 0.050
Episode 88, Total Reward: 31.259999999999987, Epsilon: 0.050
Episode 89, Total Reward: 97.65999999999929, Epsilon: 0.050
Episode 90, Total Reward: 180.4099999999985, Epsilon: 0.050
Episode 91, Total Reward: 104.41999999999918, Epsilon: 0.050
Episode 92, Total Reward: 77.97000000000017, Epsilon: 0.050
Episode 93, Total Reward: 130.4699999999959, Epsilon: 0.050
Episode 94, Total Reward: 84.2099999999986, Epsilon: 0.050
Episode 95, Total Reward: 33.72000000000001, Epsilon: 0.050
Episode 96, Total Reward: 146.52999999999682, Epsilon: 0.050
Episode 97, Total Reward: 86.65000000000009, Epsilon: 0.050
Episode 98, Total Reward: 83.84000000000002, Epsilon: 0.050
Episode 99, Total Reward: 31.01, Epsilon: 0.050
Episode 100, Total Reward: 33.38, Epsilon: 0.050
Episode 101, Total Reward: 25.429999999999996, Epsilon: 0.050
Episode 102, Total Reward: 98.85999999999954, Epsilon: 0.050
Episode 103, Total Reward: 86.20000000000016, Epsilon: 0.050
Episode 104, Total Reward: 107.60000000000008, Epsilon: 0.050
Episode 105, Total Reward: 87.39000000000011, Epsilon: 0.050
Episode 106, Total Reward: 31.150000000000006, Epsilon: 0.050
Episode 107, Total Reward: 176.60999999999925, Epsilon: 0.050
Episode 108, Total Reward: 111.15999999999862, Epsilon: 0.050
Episode 109, Total Reward: 99.62999999999965, Epsilon: 0.050
Episode 110, Total Reward: 179.3700000000001, Epsilon: 0.050
Episode 111, Total Reward: 86.57000000000015, Epsilon: 0.050
Episode 112, Total Reward: 32.04999999999999, Epsilon: 0.050
Episode 113, Total Reward: 33.36000000000001, Epsilon: 0.050
Episode 114, Total Reward: 32.06999999999999, Epsilon: 0.050
Episode 115, Total Reward: 176.3299999999996, Epsilon: 0.050
Episode 116, Total Reward: 127.85999999999486, Epsilon: 0.050
Episode 117, Total Reward: 105.13000000000005, Epsilon: 0.050
Episode 118, Total Reward: 128.99999999999787, Epsilon: 0.050
Episode 119, Total Reward: 32.08999999999998, Epsilon: 0.050
Episode 120, Total Reward: 160.52000000000035, Epsilon: 0.050
Episode 121, Total Reward: 33.69, Epsilon: 0.050
Episode 122, Total Reward: 108.72000000000007, Epsilon: 0.050
Episode 123, Total Reward: 137.19999999999587, Epsilon: 0.050
Episode 124, Total Reward: 87.71999999999997, Epsilon: 0.050
Episode 125, Total Reward: 30.369999999999983, Epsilon: 0.050
Episode 126, Total Reward: 138.589999999999, Epsilon: 0.050
Episode 127, Total Reward: 34.19000000000001, Epsilon: 0.050
Episode 128, Total Reward: 89.08999999999952, Epsilon: 0.050
Episode 129, Total Reward: 111.40000000000016, Epsilon: 0.050
Episode 130, Total Reward: 110.92999999999985, Epsilon: 0.050
Episode 131, Total Reward: 34.03000000000001, Epsilon: 0.050
Episode 132, Total Reward: 90.11000000000014, Epsilon: 0.050
Episode 133, Total Reward: 90.24000000000024, Epsilon: 0.050
Episode 134, Total Reward: 96.53999999999824, Epsilon: 0.050
Episode 135, Total Reward: 88.40999999999973, Epsilon: 0.050
Episode 136, Total Reward: 88.46999999999974, Epsilon: 0.050
Episode 137, Total Reward: 90.7499999999997, Epsilon: 0.050
Episode 138, Total Reward: 32.50999999999999, Epsilon: 0.050
Episode 139, Total Reward: 83.23000000000023, Epsilon: 0.050
Episode 140, Total Reward: 140.88999999999976, Epsilon: 0.050
Episode 141, Total Reward: 158.72000000000057, Epsilon: 0.050
Episode 142, Total Reward: 84.30000000000028, Epsilon: 0.050
Episode 143, Total Reward: 80.85999999999994, Epsilon: 0.050
Episode 144, Total Reward: 113.4200000000001, Epsilon: 0.050
Episode 145, Total Reward: 89.11999999999982, Epsilon: 0.050
Episode 146, Total Reward: 187.52, Epsilon: 0.050
Episode 147, Total Reward: 33.910000000000004, Epsilon: 0.050
Episode 148, Total Reward: 147.4899999999943, Epsilon: 0.050
Episode 149, Total Reward: 81.96999999999996, Epsilon: 0.050
Episode 150, Total Reward: 134.87999999999886, Epsilon: 0.050
Episode 151, Total Reward: 173.93999999999292, Epsilon: 0.050
Episode 152, Total Reward: 30.929999999999996, Epsilon: 0.050
Episode 153, Total Reward: 30.829999999999984, Epsilon: 0.050
Episode 154, Total Reward: 84.33000000000004, Epsilon: 0.050
Episode 155, Total Reward: 34.180000000000014, Epsilon: 0.050
Episode 156, Total Reward: 34.10000000000001, Epsilon: 0.050
Episode 157, Total Reward: 142.2100000000002, Epsilon: 0.050
Episode 158, Total Reward: 105.88000000000018, Epsilon: 0.050
Episode 159, Total Reward: 33.750000000000014, Epsilon: 0.050
Episode 160, Total Reward: 83.66999999999979, Epsilon: 0.050
Episode 161, Total Reward: 105.84999999999818, Epsilon: 0.050
Episode 162, Total Reward: 138.14000000000001, Epsilon: 0.050
