Episode 0 to 99; Average Reward: 105.42
Episode 100 to 199; Average Reward: 115.66
Episode 200 to 299; Average Reward: 46.74
Episode 300 to 399; Average Reward: 47.72
Episode 400 to 499; Average Reward: 161.19
Episode 500 to 599; Average Reward: 190.35
Episode 600 to 699; Average Reward: 182.35
Episode 700 to 799; Average Reward: 240.02
Episode 800 to 899; Average Reward: 253.36
Episode 900 to 999; Average Reward: 250.33
Episode 1000 to 1099; Average Reward: 262.69
Episode 1100 to 1199; Average Reward: 250.59
Episode 1200 to 1299; Average Reward: 256.72
Episode 1300 to 1399; Average Reward: 270.92
Episode 1400 to 1499; Average Reward: 275.72
Episode 1500 to 1599; Average Reward: 241.38
Episode 1600 to 1699; Average Reward: 258.93
Episode 1700 to 1799; Average Reward: 149.68
Episode 1800 to 1899; Average Reward: 206.94
Episode 1900 to 1999; Average Reward: 244.89
Episode 2000 to 2099; Average Reward: 223.06
Episode 2100 to 2199; Average Reward: 269.86
Episode 2200 to 2299; Average Reward: 296.74
Episode 2300 to 2399; Average Reward: 269.58
Episode 2400 to 2499; Average Reward: 240.92
Episode 2500 to 2599; Average Reward: 284.05
Episode 2600 to 2699; Average Reward: 286.05
Episode 2700 to 2799; Average Reward: 282.28
Episode 2800 to 2899; Average Reward: 276.37
Episode 2900 to 2999; Average Reward: 303.68
Episode 3000 to 3099; Average Reward: 281.55
Episode 3100 to 3199; Average Reward: 300.92
Episode 3200 to 3299; Average Reward: 365.49
Episode 3300 to 3399; Average Reward: 331.66
Episode 3400 to 3499; Average Reward: 260.48
Episode 3500 to 3599; Average Reward: 274.99
Episode 3600 to 3699; Average Reward: 262.07
Episode 3700 to 3799; Average Reward: 320.12
Episode 3800 to 3899; Average Reward: 382.03
Episode 3900 to 3999; Average Reward: 306.58

Episode 4050 to 4149; Average Reward: 193.91
Episode 4150 to 4249; Average Reward: -192.15
Episode 4250 to 4349; Average Reward: -212.75
Episode 4350 to 4449; Average Reward: -200.09
Episode 4450 to 4549; Average Reward: -208.84
Episode 4550 to 4649; Average Reward: -200.45
Episode 4650 to 4749; Average Reward: -193.22
Episode 4750 to 4849; Average Reward: -195.88
Episode 4850 to 4949; Average Reward: -192.11
Episode 4950 to 5049; Average Reward: -198.51
Episode 5050 to 5149; Average Reward: -204.60
Episode 5150 to 5249; Average Reward: -200.18
Episode 5250 to 5349; Average Reward: -194.93
Episode 5350 to 5449; Average Reward: -179.73
Episode 5450 to 5549; Average Reward: -181.67
Episode 5550 to 5649; Average Reward: -189.80
Episode 5650 to 5749; Average Reward: -188.14
Episode 5750 to 5849; Average Reward: -197.38
Episode 5850 to 5949; Average Reward: -193.55
Episode 5950 to 6049; Average Reward: -187.09
Episode 6050 to 6149; Average Reward: -174.74
Episode 6150 to 6249; Average Reward: -184.62
Episode 6250 to 6349; Average Reward: -188.52
Episode 6350 to 6449; Average Reward: -171.39
Episode 6450 to 6549; Average Reward: -185.83
Episode 6550 to 6649; Average Reward: -178.01
Episode 6650 to 6749; Average Reward: -164.70
