Episode 99; Average Reward: 181.61
Episode 100; Average Reward: 187.95
Episode 101; Average Reward: 189.04
Episode 102; Average Reward: 190.54
Episode 103; Average Reward: 190.39
Episode 104; Average Reward: 189.14
Episode 105; Average Reward: 189.29
Episode 106; Average Reward: 187.13
Episode 107; Average Reward: 184.99
Episode 108; Average Reward: 180.34
Episode 109; Average Reward: 177.64
Episode 110; Average Reward: 177.85
Episode 111; Average Reward: 177.59
Episode 112; Average Reward: 177.33
Episode 113; Average Reward: 176.86
Episode 114; Average Reward: 176.04
Episode 115; Average Reward: 174.50
Episode 116; Average Reward: 175.19
Episode 117; Average Reward: 174.96
Episode 118; Average Reward: 176.82
Episode 119; Average Reward: 175.74
Episode 120; Average Reward: 179.04
Episode 121; Average Reward: 179.51
Episode 122; Average Reward: 178.22
Episode 123; Average Reward: 178.48
Episode 124; Average Reward: 181.09
Episode 125; Average Reward: 180.96
Episode 126; Average Reward: 179.84
Episode 127; Average Reward: 185.79
Episode 128; Average Reward: 188.71
Episode 129; Average Reward: 187.51
Episode 130; Average Reward: 188.80
Episode 131; Average Reward: 188.29
Episode 132; Average Reward: 186.00
Episode 133; Average Reward: 185.42
Episode 134; Average Reward: 188.00
Episode 135; Average Reward: 187.32
Episode 136; Average Reward: 185.56
Episode 137; Average Reward: 186.13
Episode 138; Average Reward: 187.65
Episode 139; Average Reward: 185.74
Episode 140; Average Reward: 185.44
Episode 141; Average Reward: 186.55
Episode 142; Average Reward: 187.88
Episode 143; Average Reward: 183.22
Episode 144; Average Reward: 183.38
Episode 145; Average Reward: 181.64
Episode 146; Average Reward: 186.51
Episode 147; Average Reward: 184.94
Episode 148; Average Reward: 180.50
Episode 149; Average Reward: 180.23
Episode 150; Average Reward: 180.15
Episode 151; Average Reward: 177.69
Episode 152; Average Reward: 179.20
Episode 153; Average Reward: 180.64
Episode 154; Average Reward: 182.46
Episode 155; Average Reward: 184.75
Episode 156; Average Reward: 185.35
Episode 157; Average Reward: 187.92
Episode 158; Average Reward: 190.53
Episode 159; Average Reward: 191.99
Episode 160; Average Reward: 191.37
Episode 161; Average Reward: 190.09
Episode 162; Average Reward: 191.20
Episode 163; Average Reward: 193.88
Episode 164; Average Reward: 194.74
Episode 165; Average Reward: 197.06
Episode 166; Average Reward: 198.09
Episode 167; Average Reward: 198.27
Episode 168; Average Reward: 198.50
Episode 169; Average Reward: 200.00
Episode 170; Average Reward: 199.90
Episode 171; Average Reward: 198.43
Episode 172; Average Reward: 198.81
Episode 173; Average Reward: 199.76
Episode 174; Average Reward: 201.08
Episode 175; Average Reward: 205.94
Episode 176; Average Reward: 208.27
Episode 177; Average Reward: 210.81
Episode 178; Average Reward: 209.73
