Episode 99; Average Reward: 107.35
Episode 100; Average Reward: 109.18
Episode 101; Average Reward: 111.26
Episode 102; Average Reward: 114.43
Episode 103; Average Reward: 114.74
Episode 104; Average Reward: 118.54
Episode 105; Average Reward: 120.94
Episode 106; Average Reward: 123.69
Episode 107; Average Reward: 127.46
Episode 108; Average Reward: 131.11
Episode 109; Average Reward: 134.05
Episode 110; Average Reward: 136.35
Episode 111; Average Reward: 140.15
Episode 112; Average Reward: 144.28
Episode 113; Average Reward: 148.43
Episode 114; Average Reward: 151.04
Episode 115; Average Reward: 153.45
Episode 116; Average Reward: 155.20
Episode 117; Average Reward: 157.41
Episode 118; Average Reward: 159.76
Episode 119; Average Reward: 163.05
Episode 120; Average Reward: 164.93
Episode 121; Average Reward: 170.66
Episode 122; Average Reward: 170.96
Episode 123; Average Reward: 173.74
Episode 124; Average Reward: 178.77
Episode 125; Average Reward: 179.70
Episode 126; Average Reward: 181.10
Episode 127; Average Reward: 183.58
Episode 128; Average Reward: 186.72
Episode 129; Average Reward: 188.65
Episode 130; Average Reward: 190.79
Episode 131; Average Reward: 194.18
Episode 132; Average Reward: 197.52
Episode 133; Average Reward: 199.17
Episode 134; Average Reward: 200.60
Episode 135; Average Reward: 203.76
Episode 136; Average Reward: 207.47
Episode 137; Average Reward: 211.73
Episode 138; Average Reward: 215.35
Episode 139; Average Reward: 218.02
Episode 140; Average Reward: 221.71
Episode 141; Average Reward: 222.64
Episode 142; Average Reward: 221.78
Episode 143; Average Reward: 227.21
Episode 144; Average Reward: 230.42
Episode 145; Average Reward: 234.25
Episode 146; Average Reward: 235.68
Episode 147; Average Reward: 237.47
Episode 148; Average Reward: 240.15
Episode 149; Average Reward: 243.73
Episode 150; Average Reward: 245.29
Episode 151; Average Reward: 245.17
Episode 152; Average Reward: 247.40
Episode 153; Average Reward: 249.53
Episode 154; Average Reward: 249.68
Episode 155; Average Reward: 252.36
Episode 156; Average Reward: 253.42
Episode 157; Average Reward: 256.77
Episode 158; Average Reward: 257.95
Episode 159; Average Reward: 259.23
Episode 160; Average Reward: 258.86
Episode 161; Average Reward: 258.31
Episode 162; Average Reward: 259.34
Episode 163; Average Reward: 259.89
Episode 164; Average Reward: 259.37
Episode 165; Average Reward: 258.54
Episode 166; Average Reward: 263.31
Episode 167; Average Reward: 261.75
Episode 168; Average Reward: 258.89
Episode 169; Average Reward: 256.46
Episode 170; Average Reward: 255.76
Episode 171; Average Reward: 256.02
Episode 172; Average Reward: 260.53
Episode 173; Average Reward: 263.18
Episode 174; Average Reward: 264.29
Episode 175; Average Reward: 267.37
Episode 176; Average Reward: 268.71
Episode 177; Average Reward: 269.52
Episode 178; Average Reward: 270.90
Episode 179; Average Reward: 270.72
Episode 180; Average Reward: 270.36
Episode 181; Average Reward: 271.88
Episode 182; Average Reward: 271.73
Episode 183; Average Reward: 272.42
Episode 184; Average Reward: 270.56
Episode 185; Average Reward: 271.45
Episode 186; Average Reward: 272.06
Episode 187; Average Reward: 269.72
Episode 188; Average Reward: 269.27
Episode 189; Average Reward: 269.03
Episode 190; Average Reward: 267.55
Episode 191; Average Reward: 263.41
Episode 192; Average Reward: 262.02
Episode 193; Average Reward: 259.23
Episode 194; Average Reward: 260.34
Episode 195; Average Reward: 261.65
Episode 196; Average Reward: 261.63
Episode 197; Average Reward: 260.64
Episode 198; Average Reward: 260.60
Episode 199; Average Reward: 261.97
Episode 200; Average Reward: 263.45
Episode 201; Average Reward: 265.84
Episode 202; Average Reward: 266.88
Episode 203; Average Reward: 271.74
Episode 204; Average Reward: 271.04
Episode 205; Average Reward: 271.61
Episode 206; Average Reward: 270.99
Episode 207; Average Reward: 272.00
Episode 208; Average Reward: 271.34
Episode 209; Average Reward: 274.91
Episode 210; Average Reward: 275.58
Episode 211; Average Reward: 274.45
Episode 212; Average Reward: 273.49
Episode 213; Average Reward: 273.22
Episode 214; Average Reward: 271.08
Episode 215; Average Reward: 270.34
Episode 216; Average Reward: 273.57
Episode 217; Average Reward: 272.00
Episode 218; Average Reward: 270.25
Episode 219; Average Reward: 269.66
Episode 220; Average Reward: 268.28
Episode 221; Average Reward: 264.51
Episode 222; Average Reward: 265.75
Episode 223; Average Reward: 267.93
Episode 224; Average Reward: 263.50
Episode 225; Average Reward: 265.41
Episode 226; Average Reward: 266.80
Episode 227; Average Reward: 265.40
Episode 228; Average Reward: 265.06
Episode 229; Average Reward: 266.34
Episode 230; Average Reward: 264.22
Episode 231; Average Reward: 261.31
Episode 232; Average Reward: 261.59
Episode 233; Average Reward: 262.49
Episode 234; Average Reward: 263.52
Episode 235; Average Reward: 262.01
Episode 236; Average Reward: 261.08
Episode 237; Average Reward: 261.10
Episode 238; Average Reward: 258.49
Episode 239; Average Reward: 258.73
Episode 240; Average Reward: 257.93
Episode 241; Average Reward: 258.85
Episode 242; Average Reward: 261.10
Episode 243; Average Reward: 257.14
Episode 244; Average Reward: 254.45
Episode 245; Average Reward: 251.39
Episode 246; Average Reward: 250.39
Episode 247; Average Reward: 250.16
Episode 248; Average Reward: 249.25
Episode 249; Average Reward: 248.29
Episode 250; Average Reward: 246.98
Episode 251; Average Reward: 249.58
Episode 252; Average Reward: 249.63
Episode 253; Average Reward: 248.61
Episode 254; Average Reward: 250.80
Episode 255; Average Reward: 250.74
Episode 256; Average Reward: 252.10
Episode 257; Average Reward: 251.68
Episode 258; Average Reward: 252.76
Episode 259; Average Reward: 252.87
Episode 260; Average Reward: 254.37
Episode 261; Average Reward: 255.57
Episode 262; Average Reward: 254.50
Episode 263; Average Reward: 253.18
Episode 264; Average Reward: 254.37
Episode 265; Average Reward: 253.32
Episode 266; Average Reward: 253.15
Episode 267; Average Reward: 255.32
Episode 268; Average Reward: 257.49
Episode 269; Average Reward: 261.63
Episode 270; Average Reward: 262.69
Episode 271; Average Reward: 263.92
Episode 272; Average Reward: 260.62
