Episode 99; Average Reward: 181.37
Episode 100; Average Reward: 186.07
Episode 101; Average Reward: 187.93
Episode 102; Average Reward: 186.94
Episode 103; Average Reward: 186.28
Episode 104; Average Reward: 184.54
Episode 105; Average Reward: 182.74
Episode 106; Average Reward: 179.40
Episode 107; Average Reward: 176.62
Episode 108; Average Reward: 178.94
Episode 109; Average Reward: 179.06
Episode 110; Average Reward: 181.88
Episode 111; Average Reward: 185.14
Episode 112; Average Reward: 187.45
Episode 113; Average Reward: 187.72
Episode 114; Average Reward: 190.49
Episode 115; Average Reward: 188.12
Episode 116; Average Reward: 185.49
Episode 117; Average Reward: 184.21
Episode 118; Average Reward: 182.99
Episode 119; Average Reward: 183.31
Episode 120; Average Reward: 179.30
Episode 121; Average Reward: 176.83
Episode 122; Average Reward: 176.85
Episode 123; Average Reward: 175.28
Episode 124; Average Reward: 172.26
Episode 125; Average Reward: 169.69
Episode 126; Average Reward: 167.11
Episode 127; Average Reward: 165.88
Episode 128; Average Reward: 166.77
Episode 129; Average Reward: 168.02
Episode 130; Average Reward: 169.44
Episode 131; Average Reward: 167.23
Episode 132; Average Reward: 165.73
Episode 133; Average Reward: 161.51
Episode 134; Average Reward: 158.01
Episode 135; Average Reward: 159.17
Episode 136; Average Reward: 157.83
Episode 137; Average Reward: 154.93
Episode 138; Average Reward: 157.47
Episode 139; Average Reward: 157.55
Episode 140; Average Reward: 158.04
Episode 141; Average Reward: 159.69
Episode 142; Average Reward: 160.79
Episode 143; Average Reward: 163.02
Episode 144; Average Reward: 163.06
Episode 145; Average Reward: 164.23
Episode 146; Average Reward: 162.22
Episode 147; Average Reward: 162.74
Episode 148; Average Reward: 164.14
Episode 149; Average Reward: 164.20
Episode 150; Average Reward: 165.56
Episode 151; Average Reward: 164.37
Episode 152; Average Reward: 164.45
Episode 153; Average Reward: 166.35
Episode 154; Average Reward: 167.51
Episode 155; Average Reward: 168.24
Episode 156; Average Reward: 171.15
Episode 157; Average Reward: 169.77
Episode 158; Average Reward: 171.40
Episode 159; Average Reward: 169.96
Episode 160; Average Reward: 169.96
Episode 161; Average Reward: 169.33
Episode 162; Average Reward: 172.19
Episode 163; Average Reward: 173.87
Episode 164; Average Reward: 172.29
Episode 165; Average Reward: 173.75
Episode 166; Average Reward: 173.78
Episode 167; Average Reward: 174.84
Episode 168; Average Reward: 175.46
Episode 169; Average Reward: 174.52
Episode 170; Average Reward: 176.24
Episode 171; Average Reward: 173.29
Episode 172; Average Reward: 172.15
Episode 173; Average Reward: 172.16
Episode 174; Average Reward: 172.95
Episode 175; Average Reward: 173.02
Episode 176; Average Reward: 173.00
Episode 177; Average Reward: 171.60
Episode 178; Average Reward: 173.86
Episode 179; Average Reward: 175.02
Episode 180; Average Reward: 177.32
Episode 181; Average Reward: 176.93
Episode 182; Average Reward: 180.53
Episode 183; Average Reward: 182.44
Episode 184; Average Reward: 183.85
Episode 185; Average Reward: 187.13
Episode 186; Average Reward: 189.41
Episode 187; Average Reward: 189.86
Episode 188; Average Reward: 188.34
Episode 189; Average Reward: 186.96
Episode 190; Average Reward: 184.52
Episode 191; Average Reward: 183.95
Episode 192; Average Reward: 180.71
Episode 193; Average Reward: 181.26
Episode 194; Average Reward: 181.98
Episode 195; Average Reward: 184.22
Episode 196; Average Reward: 182.71
Episode 197; Average Reward: 185.71
Episode 198; Average Reward: 184.76
Episode 199; Average Reward: 182.93
Episode 200; Average Reward: 182.18
Episode 201; Average Reward: 180.09
Episode 202; Average Reward: 177.90
Episode 203; Average Reward: 178.05
Episode 204; Average Reward: 177.44
Episode 205; Average Reward: 179.43
Episode 206; Average Reward: 182.05
Episode 207; Average Reward: 183.52
Episode 208; Average Reward: 185.06
Episode 209; Average Reward: 187.18
Episode 210; Average Reward: 184.17
Episode 211; Average Reward: 181.84
Episode 212; Average Reward: 179.49
Episode 213; Average Reward: 179.16
Episode 214; Average Reward: 179.73
Episode 215; Average Reward: 180.01
Episode 216; Average Reward: 181.71
Episode 217; Average Reward: 184.09
Episode 218; Average Reward: 185.22
Episode 219; Average Reward: 183.59
Episode 220; Average Reward: 185.32
Episode 221; Average Reward: 187.77
Episode 222; Average Reward: 188.99
Episode 223; Average Reward: 192.21
Episode 224; Average Reward: 193.91
Episode 225; Average Reward: 195.99
Episode 226; Average Reward: 198.05
Episode 227; Average Reward: 200.60
Episode 228; Average Reward: 201.88
Episode 229; Average Reward: 202.98
Episode 230; Average Reward: 204.88
Episode 231; Average Reward: 205.91
Episode 232; Average Reward: 205.43
Episode 233; Average Reward: 207.61
Episode 234; Average Reward: 209.72
Episode 235; Average Reward: 210.18
Episode 236; Average Reward: 208.42
Episode 237; Average Reward: 209.88
Episode 238; Average Reward: 209.76
Episode 239; Average Reward: 211.23
Episode 240; Average Reward: 211.60
Episode 241; Average Reward: 211.13
Episode 242; Average Reward: 212.66
Episode 243; Average Reward: 212.38
Episode 244; Average Reward: 213.43
Episode 245; Average Reward: 217.35
Episode 246; Average Reward: 220.86
Episode 247; Average Reward: 220.94
Episode 248; Average Reward: 221.42
Episode 249; Average Reward: 225.43
Episode 250; Average Reward: 227.79
Episode 251; Average Reward: 231.70
Episode 252; Average Reward: 230.41
Episode 253; Average Reward: 229.87
Episode 254; Average Reward: 231.44
Episode 255; Average Reward: 232.57
Episode 256; Average Reward: 234.05
Episode 257; Average Reward: 234.97
Episode 258; Average Reward: 235.33
Episode 259; Average Reward: 237.71
Episode 260; Average Reward: 240.32
Episode 261; Average Reward: 242.40
Episode 262; Average Reward: 240.49
Episode 263; Average Reward: 237.51
Episode 264; Average Reward: 240.38
Episode 265; Average Reward: 240.13
Episode 266; Average Reward: 241.61
Episode 267; Average Reward: 243.74
Episode 268; Average Reward: 245.79
Episode 269; Average Reward: 248.02
Episode 270; Average Reward: 251.31
Episode 271; Average Reward: 253.51
Episode 272; Average Reward: 256.09
Episode 273; Average Reward: 256.96
Episode 274; Average Reward: 257.65
Episode 275; Average Reward: 260.37
Episode 276; Average Reward: 263.08
Episode 277; Average Reward: 267.43
Episode 278; Average Reward: 269.13
Episode 279; Average Reward: 267.39
Episode 280; Average Reward: 267.28
Episode 281; Average Reward: 269.77
Episode 282; Average Reward: 268.44
Episode 283; Average Reward: 267.60
Episode 284; Average Reward: 268.92
Episode 285; Average Reward: 267.92
Episode 286; Average Reward: 266.31
Episode 287; Average Reward: 266.72
Episode 288; Average Reward: 270.85
Episode 289; Average Reward: 272.34
Episode 290; Average Reward: 274.39
Episode 291; Average Reward: 277.14
Episode 292; Average Reward: 282.00
Episode 293; Average Reward: 282.61
Episode 294; Average Reward: 281.48
Episode 295; Average Reward: 280.35
Episode 296; Average Reward: 280.67
Episode 297; Average Reward: 280.15
Episode 298; Average Reward: 282.24
Episode 299; Average Reward: 285.03
Episode 300; Average Reward: 284.63
Episode 301; Average Reward: 289.19
Episode 302; Average Reward: 293.28
Episode 303; Average Reward: 294.60
Episode 304; Average Reward: 296.15
Episode 305; Average Reward: 294.87
Episode 306; Average Reward: 295.65
Episode 307; Average Reward: 296.91
Episode 308; Average Reward: 297.64
Episode 309; Average Reward: 297.79
Episode 310; Average Reward: 297.59
Episode 311; Average Reward: 298.99
Episode 312; Average Reward: 301.53
Episode 313; Average Reward: 301.61
Episode 314; Average Reward: 301.74
Episode 315; Average Reward: 301.38
Episode 316; Average Reward: 303.37
Episode 317; Average Reward: 306.11
Episode 318; Average Reward: 308.01
Episode 319; Average Reward: 307.98
Episode 320; Average Reward: 309.59
Episode 321; Average Reward: 308.53
Episode 322; Average Reward: 311.07
Episode 323; Average Reward: 310.34
Episode 324; Average Reward: 309.63
Episode 325; Average Reward: 309.72
Episode 326; Average Reward: 310.76
Episode 327; Average Reward: 311.54
Episode 328; Average Reward: 312.05
Episode 329; Average Reward: 313.89
Episode 330; Average Reward: 312.90
Episode 331; Average Reward: 312.50
Episode 332; Average Reward: 315.00
Episode 333; Average Reward: 316.37
Episode 334; Average Reward: 315.81
Episode 335; Average Reward: 313.48
Episode 336; Average Reward: 316.62
Episode 337; Average Reward: 317.64
Episode 338; Average Reward: 316.51
Episode 339; Average Reward: 314.83
Episode 340; Average Reward: 316.08
Episode 341; Average Reward: 316.12
Episode 342; Average Reward: 315.98
Episode 343; Average Reward: 317.67
Episode 344; Average Reward: 319.61
Episode 345; Average Reward: 317.67
Episode 346; Average Reward: 317.35
Episode 347; Average Reward: 318.39
Episode 348; Average Reward: 322.40
Episode 349; Average Reward: 320.82
Episode 350; Average Reward: 317.61
Episode 351; Average Reward: 317.25
Episode 352; Average Reward: 318.66
Episode 353; Average Reward: 318.26
Episode 354; Average Reward: 319.92
Episode 355; Average Reward: 317.58
Episode 356; Average Reward: 315.33
Episode 357; Average Reward: 314.60
Episode 358; Average Reward: 315.53
Episode 359; Average Reward: 315.62
Episode 360; Average Reward: 312.01
Episode 361; Average Reward: 310.30
Episode 362; Average Reward: 311.96
Episode 363; Average Reward: 313.62
Episode 364; Average Reward: 314.54
Episode 365; Average Reward: 316.17
Episode 366; Average Reward: 317.25
Episode 367; Average Reward: 316.49
Episode 368; Average Reward: 312.76
Episode 369; Average Reward: 312.00
Episode 370; Average Reward: 310.50
Episode 371; Average Reward: 311.15
Episode 372; Average Reward: 311.28
Episode 373; Average Reward: 313.86
Episode 374; Average Reward: 312.03
Episode 375; Average Reward: 310.86
Episode 376; Average Reward: 309.49
Episode 377; Average Reward: 307.67
Episode 378; Average Reward: 305.49
Episode 379; Average Reward: 307.56
Episode 380; Average Reward: 305.81
Episode 381; Average Reward: 303.28
Episode 382; Average Reward: 304.58
Episode 383; Average Reward: 304.98
Episode 384; Average Reward: 305.87
Episode 385; Average Reward: 306.63
Episode 386; Average Reward: 309.97
Episode 387; Average Reward: 308.87
Episode 388; Average Reward: 308.64
Episode 389; Average Reward: 311.24
Episode 390; Average Reward: 313.92
Episode 391; Average Reward: 314.60
Episode 392; Average Reward: 314.81
Episode 393; Average Reward: 314.95
Episode 394; Average Reward: 316.14
Episode 395; Average Reward: 317.79
Episode 396; Average Reward: 317.91
Episode 397; Average Reward: 317.99
Episode 398; Average Reward: 318.36
Episode 399; Average Reward: 318.83
Episode 400; Average Reward: 319.79
Episode 401; Average Reward: 318.65
Episode 402; Average Reward: 318.76
Episode 403; Average Reward: 315.43
Episode 404; Average Reward: 315.20
