Episode 99; Average Reward: 802.04
Episode 100; Average Reward: 796.42
Episode 101; Average Reward: 793.43
Episode 102; Average Reward: 801.08
Episode 103; Average Reward: 799.43
Episode 104; Average Reward: 798.59
Episode 105; Average Reward: 798.18
Episode 106; Average Reward: 801.11
Episode 107; Average Reward: 796.09
Episode 108; Average Reward: 795.38
Episode 109; Average Reward: 800.72
Episode 110; Average Reward: 798.82
Episode 111; Average Reward: 802.38
Episode 112; Average Reward: 800.39
Episode 113; Average Reward: 809.26
Episode 114; Average Reward: 805.57
Episode 115; Average Reward: 808.03
Episode 116; Average Reward: 810.15
Episode 117; Average Reward: 812.59
Episode 118; Average Reward: 818.68
Episode 119; Average Reward: 823.00
Episode 120; Average Reward: 818.83
Episode 121; Average Reward: 813.54
Episode 122; Average Reward: 812.50
Episode 123; Average Reward: 811.48
Episode 124; Average Reward: 808.85
Episode 125; Average Reward: 815.20
Episode 126; Average Reward: 822.45
Episode 127; Average Reward: 823.60
Episode 128; Average Reward: 817.40
Episode 129; Average Reward: 802.54
Episode 130; Average Reward: 802.68
Episode 131; Average Reward: 788.23
Episode 132; Average Reward: 786.89
Episode 133; Average Reward: 793.06
Episode 134; Average Reward: 794.85
Episode 135; Average Reward: 793.16
Episode 136; Average Reward: 795.16
Episode 137; Average Reward: 801.20
Episode 138; Average Reward: 804.82
Episode 139; Average Reward: 805.20
Episode 140; Average Reward: 799.52
Episode 141; Average Reward: 791.48
Episode 142; Average Reward: 787.90
Episode 143; Average Reward: 787.96
Episode 144; Average Reward: 795.19
Episode 145; Average Reward: 797.73
Episode 146; Average Reward: 783.82
Episode 147; Average Reward: 782.15
Episode 148; Average Reward: 784.78
Episode 149; Average Reward: 788.29
Episode 150; Average Reward: 780.24
Episode 151; Average Reward: 778.94
Episode 152; Average Reward: 772.91
Episode 153; Average Reward: 769.17
Episode 154; Average Reward: 772.49
Episode 155; Average Reward: 775.67
Episode 156; Average Reward: 772.17
Episode 157; Average Reward: 772.97
Episode 158; Average Reward: 768.23
Episode 159; Average Reward: 767.96
Episode 160; Average Reward: 764.99
Episode 161; Average Reward: 758.56
Episode 162; Average Reward: 762.50
Episode 163; Average Reward: 770.12
Episode 164; Average Reward: 765.77
Episode 165; Average Reward: 769.79
Episode 166; Average Reward: 767.36
Episode 167; Average Reward: 763.48
Episode 168; Average Reward: 766.48
Episode 169; Average Reward: 764.23
Episode 170; Average Reward: 763.92
Episode 171; Average Reward: 761.01
Episode 172; Average Reward: 760.97
Episode 173; Average Reward: 763.01
Episode 174; Average Reward: 765.61
Episode 175; Average Reward: 760.67
Episode 176; Average Reward: 758.55
Episode 177; Average Reward: 758.92
Episode 178; Average Reward: 755.47
Episode 179; Average Reward: 764.27
Episode 180; Average Reward: 774.13
Episode 181; Average Reward: 771.93
Episode 182; Average Reward: 768.13
Episode 183; Average Reward: 763.95
Episode 184; Average Reward: 764.10
Episode 185; Average Reward: 754.35
Episode 186; Average Reward: 762.26
Episode 187; Average Reward: 769.24
Episode 188; Average Reward: 763.15
Episode 189; Average Reward: 758.87
Episode 190; Average Reward: 749.85
Episode 191; Average Reward: 752.86
Episode 192; Average Reward: 752.76
Episode 193; Average Reward: 741.93
Episode 194; Average Reward: 732.44
Episode 195; Average Reward: 741.20
Episode 196; Average Reward: 741.99
Episode 197; Average Reward: 731.32
Episode 198; Average Reward: 724.13
Episode 199; Average Reward: 723.94
Episode 200; Average Reward: 726.81
Episode 201; Average Reward: 724.79
Episode 202; Average Reward: 725.37
Episode 203; Average Reward: 729.90
Episode 204; Average Reward: 731.53
Episode 205; Average Reward: 736.07
Episode 206; Average Reward: 732.06
Episode 207; Average Reward: 733.53
Episode 208; Average Reward: 743.35
Episode 209; Average Reward: 739.47
Episode 210; Average Reward: 740.43
Episode 211; Average Reward: 739.00
Episode 212; Average Reward: 737.78
Episode 213; Average Reward: 732.80
Episode 214; Average Reward: 734.09
Episode 215; Average Reward: 732.25
Episode 216; Average Reward: 734.91
Episode 217; Average Reward: 733.84
Episode 218; Average Reward: 725.54
Episode 219; Average Reward: 719.78
Episode 220; Average Reward: 720.87
Episode 221; Average Reward: 731.14
Episode 222; Average Reward: 732.05
Episode 223; Average Reward: 743.52
Episode 224; Average Reward: 743.35
Episode 225; Average Reward: 746.52
Episode 226; Average Reward: 739.58
Episode 227; Average Reward: 747.50
Episode 228; Average Reward: 748.79
Episode 229; Average Reward: 751.33
Episode 230; Average Reward: 752.94
Episode 231; Average Reward: 755.77
Episode 232; Average Reward: 765.41
Episode 233; Average Reward: 755.58
Episode 234; Average Reward: 756.15
Episode 235; Average Reward: 767.52
Episode 236; Average Reward: 772.89
Episode 237; Average Reward: 770.42
Episode 238; Average Reward: 764.90
Episode 239; Average Reward: 763.26
Episode 240; Average Reward: 761.98
Episode 241; Average Reward: 761.90
Episode 242; Average Reward: 766.43
Episode 243; Average Reward: 769.33
Episode 244; Average Reward: 767.62
Episode 245; Average Reward: 766.94
Episode 246; Average Reward: 770.42
Episode 247; Average Reward: 761.39
Episode 248; Average Reward: 771.30
Episode 249; Average Reward: 772.15
Episode 250; Average Reward: 772.29
Episode 251; Average Reward: 776.02
Episode 252; Average Reward: 776.79
Episode 253; Average Reward: 774.53
Episode 254; Average Reward: 772.03
Episode 255; Average Reward: 769.15
Episode 256; Average Reward: 780.49
Episode 257; Average Reward: 789.92
Episode 258; Average Reward: 802.96
Episode 259; Average Reward: 800.70
Episode 260; Average Reward: 804.92
Episode 261; Average Reward: 805.59
Episode 262; Average Reward: 800.93
Episode 263; Average Reward: 792.63
Episode 264; Average Reward: 791.27
