Episode 99; Average Reward: 655.86
Episode 100; Average Reward: 645.51
Episode 101; Average Reward: 641.10
Episode 102; Average Reward: 638.66
Episode 103; Average Reward: 644.61
Episode 104; Average Reward: 642.39
Episode 105; Average Reward: 638.98
Episode 106; Average Reward: 639.17
Episode 107; Average Reward: 638.20
Episode 108; Average Reward: 638.41
Episode 109; Average Reward: 640.75
Episode 110; Average Reward: 643.17
Episode 111; Average Reward: 645.78
Episode 112; Average Reward: 651.33
Episode 113; Average Reward: 654.49
Episode 114; Average Reward: 648.58
Episode 115; Average Reward: 652.16
Episode 116; Average Reward: 657.50
Episode 117; Average Reward: 663.17
Episode 118; Average Reward: 664.31
Episode 119; Average Reward: 660.21
Episode 120; Average Reward: 671.65
Episode 121; Average Reward: 674.71
Episode 122; Average Reward: 677.63
Episode 123; Average Reward: 682.13
Episode 124; Average Reward: 685.72
Episode 125; Average Reward: 693.10
Episode 126; Average Reward: 704.20
Episode 127; Average Reward: 704.17
Episode 128; Average Reward: 708.17
Episode 129; Average Reward: 707.49
Episode 130; Average Reward: 713.36
Episode 131; Average Reward: 713.90
Episode 132; Average Reward: 715.68
Episode 133; Average Reward: 714.65
Episode 134; Average Reward: 715.52
Episode 135; Average Reward: 721.38
Episode 136; Average Reward: 723.08
Episode 137; Average Reward: 727.44
Episode 138; Average Reward: 728.95
Episode 139; Average Reward: 732.59
Episode 140; Average Reward: 734.50
Episode 141; Average Reward: 734.69
Episode 142; Average Reward: 743.11
Episode 143; Average Reward: 743.51
Episode 144; Average Reward: 740.41
Episode 145; Average Reward: 737.47
Episode 146; Average Reward: 738.05
Episode 147; Average Reward: 735.26
Episode 148; Average Reward: 738.80
Episode 149; Average Reward: 737.81
Episode 150; Average Reward: 746.32
Episode 151; Average Reward: 752.95
Episode 152; Average Reward: 763.49
Episode 153; Average Reward: 764.43
Episode 154; Average Reward: 770.71
Episode 155; Average Reward: 774.04
Episode 156; Average Reward: 772.53
Episode 157; Average Reward: 779.12
Episode 158; Average Reward: 780.00
Episode 159; Average Reward: 791.74
Episode 160; Average Reward: 788.40
Episode 161; Average Reward: 789.50
Episode 162; Average Reward: 781.15
