Episode 0; Steps: 1561; Ended: time_out
Episode 1; Steps: 1561; Ended: time_out
Episode 2; Steps: 1561; Ended: time_out
Episode 3; Steps: 1573; Ended: time_out
Episode 4; Steps: 1854; Ended: game_over
Episode 5; Steps: 1666; Ended: game_over
Episode 6; Steps: 386; Ended: game_over
Episode 7; Steps: 248; Ended: game_over
Episode 8; Steps: 390; Ended: game_over
Episode 9; Steps: 611; Ended: game_over
Episode 10; Steps: 164; Ended: game_over
Episode 11; Steps: 567; Ended: game_over
Episode 12; Steps: 99; Ended: game_over
Episode 13; Steps: 99; Ended: game_over
Episode 14; Steps: 99; Ended: game_over
Episode 15; Steps: 99; Ended: game_over
Episode 16; Steps: 1561; Ended: time_out
Episode 17; Steps: 99; Ended: game_over
Episode 18; Steps: 99; Ended: game_over
Episode 19; Steps: 99; Ended: game_over
Episode 20; Steps: 1587; Ended: time_out
Episode 21; Steps: 1561; Ended: time_out
Episode 22; Steps: 1561; Ended: time_out
Episode 23; Steps: 99; Ended: game_over
